"","Standard deviation","Proportion of Variance","Cumulative Proportion"
"PC1",2.79177191858011,0.48712,0.48712
"PC2",1.91427790300935,0.22903,0.71615
"PC3",1.47868214865175,0.13666,0.85281
"PC4",1.24436437042033,0.09678,0.94959
"PC5",0.725972751987017,0.03294,0.98253
"PC6",0.334620751000949,0.007,0.98953
"PC7",0.254482844143495,0.00405,0.99357
"PC8",0.232045259818806,0.00337,0.99694
"PC9",0.150396701280735,0.00141,0.99835
"PC10",0.108789887618427,0.00074,0.99909
"PC11",0.0821680146347619,0.00042,0.99951
"PC12",0.0634468351405907,0.00025,0.99976
"PC13",0.0435636123595879,0.00012,0.99988
"PC14",0.0404509368946529,1e-04,0.99999
"PC15",0.0150505756994201,1e-05,1
"PC16",1.06710050266876e-07,0,1
